district,count,area_sqkm,non_poor,vulnerable,moderately_poor,severely_poor,poverty_rate,poverty_index,vulnerability_index,population_density
Bugesera,576264,1297.7977208970453,44.604406313772856,21.54267714103258,24.151800216567405,9.691134792386823,33.842935008954235,19.890970041508755,,444.0322175952682
Burera,454484,796.7738929612252,37.98169066457785,27.479475185045015,29.695654852536062,4.808998776634601,34.50465362917066,20.12636006988145,,570.4052354312233
Gakende,391759,741.8086937785346,40.41910664464633,29.73029311387868,26.481921027978938,3.3707286877901983,29.852649715769132,19.28083707075013,,528.1132497982813
Gasabo,1145447,557.6454274934852,78.2418599900301,11.688851164654496,7.783305905903983,2.2558510345742753,10.039156940478257,13.399288417534814,,2054.0776334320108
Gatsibo,862706,1884.698817742735,36.23853908515763,25.608181929881095,28.894098453007164,9.282423444371547,38.17652189737871,21.12668920814275,,457.7421028115491
Gicumbi,563094,1140.8240231914008,41.030638934174405,27.1532431530082,26.920298387125417,4.898216283604514,31.81851467072993,19.56908855359851,,493.5853282829471
Gisagara,541984,884.1155835322576,32.46833393605715,21.945218678042156,33.56253191976147,12.041107117553285,45.60363903731475,22.521079552163897,,613.0239191516584
Huye,629649,1075.5328043325549,48.72667692635103,21.728571315129535,23.223785474129237,6.3342314527617765,29.558016926891014,18.719210179004495,,585.4298422731441
Kamonyi,554234,806.24562732999,48.11989646972217,24.66751263906581,22.333574086035863,4.904223125972063,27.237797212007926,18.40725365098496,,687.4257437344914
Karongi,439849,1368.859192974067,35.41866754272489,29.701485055098455,28.405395715347765,6.474974366202947,34.88037008155071,20.593772226377688,,321.32523363806126
Kayonza,595129,2089.3515124644377,42.345689253926466,22.966940948937122,26.00126997676134,8.677410275755339,34.678680252516685,20.09930221851061,,284.8390978969507
Kicukiro,612407,282.6842313755294,83.74463289936268,9.765353433255989,5.10015169650249,1.3893285021235877,6.489480198626077,12.413310886387649,,2166.399579559333
Kirehe,493064,1197.0140340464466,42.47845898301235,22.1619331364691,28.065578505021666,7.2930522204014085,35.35863072542307,20.01712696526212,,411.9116284152673
Muhanga,372835,646.4979320909052,50.35235077178914,23.449923961001517,22.5693400565934,3.64517279761825,26.214512854211648,17.954091005404536,,576.6994471183784
Musanze,597222,740.1958294353644,49.357830254076376,22.235824031934524,23.486950246307067,4.922729906132059,28.409680152439126,18.398124868139487,,806.843238302994
Ngoma,537207,1022.8254394640794,42.163524860994,21.98659492523366,26.75752270540034,9.084554743329853,35.842077448730194,20.274750180098174,,525.2186534209352
Ngororero,448753,818.8267115787544,30.84073800063732,31.521264927476807,30.707408529859407,6.949531479455291,37.6569400093147,21.380361936299032,,548.0439190054917
Nyabihu,305458,537.6992088710014,35.471440918227714,29.624723857289705,28.295352879937667,6.602942139344853,34.89829501928252,20.60187158299996,,568.0834097587114
Nyagatare,751240,2060.1265071641055,38.559553005697246,24.388054416697727,27.688282173473187,9.372490149619296,37.060772323092486,20.789046895798947,,364.6572175968598
Nyamagabe,430660,1212.0386303123519,33.86919983281475,28.402030371987184,30.21001787953374,7.547027817768077,37.75704569730182,21.14914254864626,,355.3187078608341
Nyamasheke,380784,948.8371929657973,41.18950664943905,26.607578574730027,26.84839121391655,5.377969137358713,32.22636035127527,19.646171399008363,,401.31647749786947
Nyanza,497314,792.9969923159174,38.62687979827634,23.13981307584343,27.812450081839643,10.370419694599386,38.18286977643902,20.98255349738797,,627.1322650891947
Nyarugenge,436470,178.71142659412672,79.49216807569822,11.769537425252595,6.814887850253168,1.9216530345728229,8.736540884825992,13.116251861525418,,2442.317250319261
Nyaruguru,399827,1224.6711092793046,38.75933741343131,23.568682455161863,30.486945353865547,7.199811168330303,37.68675652219585,20.61567830586729,,326.47704103617707
Rubavu,532767,387.84067203628007,47.67738823913644,18.03150776981307,23.27643435122671,11.015091963278506,34.29152631450521,19.76300746855567,,1373.674909345668
Ruhango,539970,770.0341771867613,39.15617478748819,25.01475507898587,27.107044465433265,8.779550530585032,35.886594996018296,20.56250204640998,,701.2286155566802
Rulindo,440862,776.8798376640967,47.081715593541745,26.41294577441467,22.93714881300724,3.5685343712998625,26.505683184307106,18.29931910665923,,567.4777212980234
Rusizi,497203,1728.5208812094234,43.92272069959353,22.209584817468915,26.256353038899604,7.601786795333092,33.8581398342327,19.751809663256257,,287.6465106120752
Rutsiro,411981,784.3988225522281,30.38671030945602,29.385382335593146,30.548288149210762,9.69880941111362,40.247097560324384,21.959757707272907,,525.2187894157233
Rwamagana,511650,730.4644717579798,52.61106244503078,20.363620639108767,20.96033519007134,6.04348519495749,27.00382038502883,18.03932500732923,,700.4447441073106
